STT,Ngày,Mã CK,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi add/sub,Thay đổi percent,GD khớp lệnh KL,GD khớp lệnh GT,GD thỏa thuận KL,GD thỏa thuận GT,Tổng giao dịch KL,Tổng giao dịch GT,Vốn hóa thị trường
1,2022-12-30,AAA,6.86,6.89,6.83,6.9,6.78,6.82,-30.0,-0.44,1032000,7041,0,0,1032000,7041,2610934
1,2023-01-03,AAA,6.83,6.81,7.15,7.15,6.81,7.04,320.0,4.69,1543300,10869,0,0,1543300,10869,2733262
1,2023-01-04,AAA,7.15,7.15,7.11,7.29,7.11,7.18,-40.0,-0.56,1301900,9343,0,0,1301900,9343,2717971
1,2023-01-05,AAA,7.11,7.15,7.17,7.19,7.09,7.14,60.0,0.84,980300,7000,0,0,980300,7000,2740908
1,2023-01-06,AAA,7.17,7.17,7.14,7.28,7.1,7.21,-30.0,-0.42,1431100,10313,0,0,1431100,10313,2729439
1,2023-01-09,AAA,7.14,7.2,7.07,7.25,7.04,7.13,-70.0,-0.98,1121000,7993,0,0,1121000,7993,2702680
1,2023-01-10,AAA,7.07,7.0,7.07,7.17,6.97,7.05,0.0,0.0,1397400,9849,0,0,1397400,9849,2702680
1,2023-01-11,AAA,7.07,7.15,7.19,7.25,7.1,7.19,120.0,1.7,1038300,7467,0,0,1038300,7467,2748553
1,2023-01-12,AAA,7.19,7.19,7.19,7.25,7.15,7.19,0.0,0.0,850100,6116,0,0,850100,6116,2748553
1,2023-01-13,AAA,7.19,7.25,7.12,7.28,7.12,7.21,-70.0,-0.97,1754700,12660,0,0,1754700,12660,2721794
1,2023-01-16,AAA,7.12,7.15,7.16,7.19,7.1,7.14,40.0,0.56,1240600,8854,0,0,1240600,8854,2737085
1,2023-01-17,AAA,7.16,7.24,7.4,7.4,7.17,7.31,240.0,3.35,2365400,17299,0,0,2365400,17299,2828831
1,2023-01-18,AAA,7.4,7.41,7.58,7.6,7.4,7.54,180.0,2.43,2252200,16979,0,0,2252200,16979,2897640
1,2023-01-19,AAA,7.58,7.58,7.59,7.63,7.47,7.55,10.0,0.13,2352400,17773,0,0,2352400,17773,2901463
1,2023-01-27,AAA,7.59,7.75,7.79,7.84,7.68,7.77,200.0,2.64,3118200,24230,0,0,3118200,24230,2977918
1,2023-01-30,AAA,7.79,7.8,8.33,8.33,7.8,8.18,540.0,6.93,8001400,65395,0,0,8001400,65395,3184346
1,2023-01-31,AAA,8.33,8.11,8.22,8.3,8.1,8.18,-110.0,-1.32,6817800,55740,0,0,6817800,55740,3142296
1,2023-02-01,AAA,8.22,8.26,8.25,8.79,8.19,8.51,30.0,0.36,10734700,91339,0,0,10734700,91339,3153764
1,2023-02-02,AAA,8.25,8.3,8.3,8.5,8.22,8.33,50.0,0.61,5728400,47708,0,0,5728400,47708,3172878
1,2023-02-03,AAA,8.3,8.41,8.1,8.5,8.06,8.29,-200.0,-2.41,4343500,35989,0,0,4343500,35989,3096423
1,2023-02-06,AAA,8.1,8.12,8.25,8.25,8.09,8.13,150.0,1.85,3168700,25754,0,0,3168700,25754,3153764
1,2023-02-07,AAA,8.25,8.25,8.2,8.4,8.1,8.21,-50.0,-0.61,3592200,29497,0,0,3592200,29497,3134650
1,2023-02-08,AAA,8.2,8.19,8.24,8.31,8.1,8.21,40.0,0.49,3350100,27518,0,0,3350100,27518,3149941
1,2023-02-09,AAA,8.24,8.26,8.62,8.69,8.21,8.54,380.0,4.61,5619400,47959,0,0,5619400,47959,3295206
1,2023-02-10,AAA,8.62,8.68,8.38,8.76,8.38,8.56,-240.0,-2.78,4135200,35408,0,0,4135200,35408,3203460
1,2023-02-13,AAA,8.38,8.34,7.8,8.37,7.8,8.05,-580.0,-6.92,6505500,52404,0,0,6505500,52404,2981741
1,2023-02-14,AAA,7.8,7.8,7.98,8.28,7.8,7.9,180.0,2.31,1930800,15297,0,0,1930800,15297,3050550
